Agency,Total detainees,Detainees with FTPS,Percentage with FTPS,Detainees w/o charges listed
Benton County Sheriff's Office,778,57,7.0,0
Greene County Sheriff's Office,324,55,17.0,0
Crawford County Sheriff�â��s Department,137,2,1.0,0
Saline County Sheriff's Office,219,0,0.0,0
Grant County Sheriff's Office,53,1,2.0,0
Sebastian County Sheriff's Department,357,72,20.0,0
Pope County Sheriff's Office,179,30,17.0,0
Randolph County Sheriff's Office,86,2,2.0,0
Crittenden County Sheriff's Office,161,8,5.0,0
Pulaski County Sheriff's Office,1109,3,0.0,0
Lonoke County Sheriff's Office,123,2,2.0,0
Jackson County Sheriff's Office,96,0,0.0,0
Cleburne County Sheriff's Office,38,0,0.0,0
White County Sheriff's Office,334,29,9.0,0
Yell County Sheriff's Department,38,0,0.0,0
Jefferson County Sheriff's Office,204,0,0.0,0
Union County Sheriff's Office,150,0,0.0,0
Nevada County Sheriff's Office,61,0,0.0,0
Craighead County Sheriff's Office,270,0,0.0,0
Phillips County Sheriff's Office,47,0,0.0,0
Lincoln County Sheriff's Office,27,1,4.0,0
Baxter County Sheriff's Office,118,0,0.0,0
Lafayette County Sheriff's Office,41,1,2.0,0
Poinsett County Sheriff's Office,93,0,0.0,0
Boone County Sheriff's Office,89,0,0.0,0
Miller County Sheriff's Office,268,0,0.0,0
Calhoun County Sheriff's Office,15,1,7.0,0
Faulkner County Sheriff's Office,362,4,1.0,0
Clark County Sheriff's Department,63,0,0.0,0
Johnson County Sheriff's Office,85,2,2.0,0
Cross County Sheriff's Office,79,6,8.0,0
Hempstead County Sheriff's Office,53,0,0.0,0
Franklin County Sheriff's Office,65,2,3.0,0
Hot Spring County Sheriff's Office,49,0,0.0,0
St. Francis County Sheriff's Office,41,0,0.0,0
Mississippi County Sheriff's Office,124,2,2.0,0
Garland County Sheriff's Department,373,8,2.0,0
Perry County Sheriff's Office,19,0,0.0,0
Ouachita County Sheriff's Office,121,3,2.0,0
Izard County Sheriffs Office,38,0,0.0,0
Independence County Sheriff's Office,86,3,3.0,0
Howard County Sheriff's Office,36,0,0.0,0
Sevier County Sheriff's Office,103,3,3.0,0
Conway County Sheriff's Office,70,0,0.0,0
Newton County Sheriff's Office,24,1,4.0,0
Arkansas County Sheriff's Office,73,2,3.0,0
Scott County Sheriff,23,0,0.0,0
Columbia County Sheriff's Office,57,0,0.0,0
Lawrence County Sheriff's Office,53,2,4.0,0
Prairie County Sheriff's Office,41,2,5.0,0
Van Buren County Sheriff's Office,59,0,0.0,0
Logan County Sheriff's Office,63,6,10.0,0
Ashley County Sheriff's Office,60,0,0.0,0
Delta Regional Unit,4,0,0.0,0
Woodruff County Sheriff's Office,33,0,0.0,0
Pike County Sheriff's Office,39,2,5.0,0
East Arkansas Regional Unit,7,0,0.0,0
McGehee Police Department,5,0,0.0,0
Marion County Sheriff's Office,48,10,21.0,0
Stone County Sheriff's Office,25,0,0.0,0
Osceola Police Department,24,0,0.0,0
Sharp County Sheriff's Office,57,2,4.0,0
Montgomery County Sheriff's Office,30,1,3.0,0
Dumas City Jail,14,0,0.0,0
Little River County Sheriff's Office,28,0,0.0,0
Monroe County Sheriff's Office,10,1,10.0,0
Fulton County Sheriffs Office,20,0,0.0,0
Polk County Sheriff's Office,19,0,0.0,0
Searcy County Sheriff's Office,27,0,0.0,0
Carlisle Police Department,1,0,0.0,0
Lee County Sheriff's Office,2,0,0.0,0
Cleveland County Sheriff's Office,5,0,0.0,0
Chicot County Sheriff's Office,7,0,0.0,0
Crossett Police Department,2,0,0.0,0
Crawford County Sheriff’s Department,172,2,1.0,0
Carroll County Sheriff's Office,53,0,0.0,0
Bradley County Sheriff's Office,2,0,0.0,0
Cabot Police Department,1,0,0.0,0
England Police Department,1,0,0.0,0
